0.69 -> 7.19 今回は日本語音声なしの英語のオリスニングです。)
7.19 -> 13.19 英語は2回流れます。2回目は日本語の字幕ありです。)
13.19 -> 14.69  team lunch)
14.69 -> 17.39 Hi there! How's everything at work today?)
17.39 -> 21.89 Hello! It's going well, thanks! How about your day?)
21.89 -> 25.59  Not too bad, just catching up on some emails.)
25.59 -> 29.59  Emails can pile up, right? I'm doing the same.)
29.69 -> 33.49  By the way, have you heard about the team lunch next week?)
33.49 -> 37.39  Yes, I got the memo. Where are we going?)
37.39 -> 40.79  We're going to that new Italian place downtown.)
40.79 -> 44.89  Sounds delicious. I'm looking forward to it.)
44.89 -> 49.19  It should be a fun team outing. See you there.)
49.19 -> 52.29  Definitely. Count me in.)
52.29 -> 54.39  Have a productive day.)
54.39 -> 58.69  You too. Goodbye.)
58.69 -> 61.49 Hi there! How's everything at work today?)
61.49 -> 65.99 Hello! It's going well, thanks! How about your day?)
65.99 -> 69.79  Not too bad, just catching up on some emails.)
69.79 -> 73.69  Emails can pile up, right? I'm doing the same.)
73.69 -> 77.49  By the way, have you heard about the team lunch next week?)
77.49 -> 81.39  Yes, I got the memo. Where are we going?)
81.39 -> 84.79  We're going to that new Italian place downtown.)
84.89 -> 88.89  Sounds delicious. I'm looking forward to it.)
88.89 -> 93.09  It should be a fun team outing. See you there.)
93.09 -> 96.29  Definitely. Count me in.)
96.29 -> 98.29  Have a productive day.)
98.29 -> 101.29  You too. Goodbye.)
101.29 -> 103.29  Office etiquette.)
103.29 -> 106.49  Hi. Have you thought about office etiquette?)
106.49 -> 110.49  Hi. Yes. It's important for a good workplace.)
110.49 -> 114.09  What are some basic office etiquette rules you follow?)
114.19 -> 118.39  I always try to be punctual and respectful to my colleagues.)
118.39 -> 122.69  Being on time and respectful are great practices.)
122.69 -> 126.99  Thank you. What office etiquette rules do you think are important?)
126.99 -> 132.29  Well, I believe in keeping the workspace tidy and not being too loud.)
132.29 -> 135.69  That helps create a pleasant work environment.)
135.69 -> 140.29  Absolutely. How about email communication etiquette?)
140.29 -> 144.79  I make sure to use proper language and reply promptly.)
144.79 -> 149.09  Good email etiquette is essential for clear communication.)
149.09 -> 153.29  It avoids misunderstandings. What else is important to you?)
153.29 -> 158.09  I think being a good listener during meetings and not interrupting others.)
158.09 -> 161.79  Active listening is key for effective meetings.)
161.79 -> 166.99  Exactly. Office etiquette helps the workplace run smoothly.)
166.99 -> 173.14  It sure does, making everyone comfortable and productive.)
173.14 -> 176.44  Hi. Have you thought about office etiquette?)
176.44 -> 180.44  Hi. Yes. It's important for a good workplace.)
180.44 -> 184.04  What are some basic office etiquette rules you follow?)
184.04 -> 188.34  I always try to be punctual and respectful to my colleagues.)
188.34 -> 192.54  Being on time and respectful are great practices.)
192.54 -> 196.84  Thank you. What office etiquette rules do you think are important?)
196.84 -> 202.14  Well, I believe in keeping the workspace tidy and not being too loud.)
202.14 -> 205.54  That helps create a pleasant work environment.)
205.54 -> 210.14  Absolutely. How about email communication etiquette?)
210.14 -> 214.64  I make sure to use proper language and reply promptly.)
214.64 -> 218.94  Good email etiquette is essential for clear communication.)
218.94 -> 223.14  It avoids misunderstandings. What else is important to you?)
223.24 -> 227.94  I think being a good listener during meetings and not interrupting others.)
